Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.7,111143286,3,37047762.0,154537.0,145410,110843339,63908844.5,cudaMalloc
35.0,65129599,759,85809.7,87378.0,14891,130077,12387.6,cudaMemcpyAsync
4.7,8716316,759,11483.9,9612.0,7348,1126415,40575.8,cudaLaunchKernel
0.5,934853,3,311617.7,380824.0,131198,422831,157653.4,cudaFree
0.1,105489,1,105489.0,105489.0,105489,105489,0.0,cudaMemcpy
0.0,38057,2,19028.5,19028.5,3248,34809,22317.0,cudaStreamCreate
0.0,36802,1,36802.0,36802.0,36802,36802,0.0,cudaMemset
0.0,14601,2,7300.5,7300.5,2202,12399,7210.4,cudaStreamDestroy
0.0,9346,1,9346.0,9346.0,9346,9346,0.0,cudaDeviceSynchronize
0.0,1004,1,1004.0,1004.0,1004,1004,0.0,cuModuleGetLoadingMode
