Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.6,2597634015,35,74218114.7,100113679.0,1076,194586823,47910723.5,poll
30.3,2209488372,721,3064477.6,1885506.0,16905,34323627,3515191.4,pthread_cond_wait
27.4,2000246530,4,500061632.5,500061728.0,500060636,500062438,934.6,pthread_cond_timedwait
4.8,350629763,1575,222622.1,6224.0,1330,1770016,225177.8,read
1.5,112626891,477,236115.1,33111.0,1032,14429730,918596.8,ioctl
0.1,10386029,689,15074.1,1202.0,1001,246587,36798.0,pthread_cond_signal
0.0,2620141,9,291126.8,263383.0,237484,465392,73338.7,sem_timedwait
0.0,2433575,783,3108.0,2583.0,1551,123368,6090.5,fopen64
0.0,1601753,790,2027.5,1831.0,1154,92628,3269.2,fclose
0.0,755425,25,30217.0,3210.0,1728,498890,98708.9,mmap64
0.0,616802,118,5227.1,4726.5,3448,45890,3923.5,writev
0.0,299218,11,27201.6,21268.0,15408,64049,15665.0,pthread_create
0.0,204017,4,51004.3,5161.5,4314,189380,92252.8,pthread_join
0.0,156467,43,3638.8,2993.0,1066,10287,2474.9,open64
0.0,95880,25,3835.2,2106.0,1000,17040,4214.2,fopen
0.0,73652,13,5665.5,3393.0,1068,32259,8253.2,mmap
0.0,26952,1,26952.0,26952.0,26952,26952,0.0,fgets
0.0,22771,6,3795.2,4049.0,1385,5466,1652.8,munmap
0.0,22723,11,2065.7,2055.0,1647,2462,229.1,write
0.0,15971,6,2661.8,1828.5,1252,5718,1793.6,putc
0.0,15501,5,3100.2,3057.0,1272,4736,1252.1,open
0.0,14270,2,7135.0,7135.0,4759,9511,3360.2,fread
0.0,12343,2,6171.5,6171.5,5700,6643,666.8,socket
0.0,11550,3,3850.0,4270.0,2335,4945,1354.7,pipe2
0.0,9277,4,2319.3,2248.5,1106,3674,1108.0,fwrite
0.0,6146,1,6146.0,6146.0,6146,6146,0.0,connect
0.0,3368,2,1684.0,1684.0,1368,2000,446.9,pthread_cond_broadcast
0.0,1596,1,1596.0,1596.0,1596,1596,0.0,fcntl
0.0,1199,1,1199.0,1199.0,1199,1199,0.0,bind
